id,timestamp,user_id,session_id,ad_id,campaign_id,ad_format,device_type,browser,operating_system,country,click_position_x,click_position_y,time_on_page,page_url,referrer_url,cost_per_click,is_conversion,conversion_value
0,1751245572.0,ce28e713-4189-4289-b4c0-8dc08f991c74,9c62040c-aac1-4506-830a-5614a6e4398d,ad_1807,streaming_service,popup,tablet,firefox,Linux,Djibouti,1685,532,123,http://kirby.com/,,1.63,False,0.0
1,1751027603.0,01e18f04-f889-4bd1-87d7-15e30fb198ac,1f5a85a8-91dd-41fd-ba84-15bf25a7a5f9,ad_4891,back_to_school,video,desktop,opera,macOS,Lao People's Democratic Republic,155,1053,288,https://www.moody.net/,http://gonzalez.info/,4.1,False,0.0
2,1751323397.0,1260f164-7140-4ffa-9892-8714598a7efd,d3fc379b-8f3f-4ba1-96c4-4310bbc6bd95,ad_9863,fashion_week_special,native,mobile,safari,iOS,Ireland,1300,1071,55,https://www.hicks.com/,http://www.walker-white.com/,0.21,False,0.0
3,1751176821.0,a13f2280-9c5f-436b-9dfe-89c6d071a101,2cc4b47f-dc99-4886-8fbf-0daab92e59ea,ad_5564,travel_deals,banner,mobile,safari,macOS,Kiribati,704,374,199,https://www.curtis.net/,,2.46,False,0.0
4,1750438461.0,c8b213c7-a442-4995-abc7-14ed5513efe7,5c07391d-dcb8-4d7a-a516-3a0062afc28f,ad_7857,back_to_school,popup,tablet,opera,Linux,Reunion,1213,243,42,https://anderson.com/,,4.55,False,0.0
5,1750038143.0,76f2dbbe-8bb6-4b40-af5c-509c38fc8d73,5835b783-2168-4b32-b575-51794998bf78,ad_4239,summer_sale_2025,native,tablet,firefox,macOS,Saint Helena,602,852,116,https://townsend.com/,https://smith.com/,3.07,False,0.0
6,1749469954.0,62673ad5-6615-4327-9df6-bd37d332fbd4,36f51162-bc75-4126-b32c-081cf5384263,ad_1575,back_to_school,video,mobile,opera,Android,Djibouti,566,100,239,http://www.gardner.info/,https://www.garcia.net/,1.84,False,0.0
7,1749056760.0,ff611c9b-262b-4cdb-996d-339a2c68c383,6f94397f-ee5e-4317-91da-70eb555580a9,ad_3961,mobile_app_install,banner,desktop,chrome,Android,Sierra Leone,397,763,66,https://long.com/,https://fox.com/,0.62,False,0.0
8,1750102941.0,9d2d9fe9-eed7-4460-bb11-de0b91b78dcb,0a053944-b1d4-4f0f-a060-76bf09677a61,ad_5081,tech_gadgets_promo,interstitial,tablet,safari,macOS,Bhutan,111,265,181,https://richards-mooney.com/,https://www.mills.info/,2.7,False,0.0
9,1749330086.0,557e39b9-b3d8-4b68-b048-8019bff511f5,688a12d0-0d73-43d8-aac4-52c00700d89d,ad_8231,back_to_school,native,tablet,opera,Android,Fiji,1110,616,213,http://love.info/,http://www.camacho.com/,4.49,False,0.0
10,1749848123.0,9b529009-219e-471d-b67b-785a0c8f3614,72b062bd-4d05-4cc6-ad0f-399e94902974,ad_8124,fitness_challenge,native,mobile,opera,macOS,Haiti,198,972,117,https://www.parker.net/,http://www.hooper-patel.org/,4.47,False,0.0
